,0
Physical_Health_Rating,0.11130184642148257
Mobile_Usage_Hours,0.11016938188516452
Sleep_Hours,0.0987391585371703
Attendance_Percentage,0.09519849833574778
Peer_Influence,0.0853131862896396
Motivation_Level,0.07748909774083321
Stress_Level,0.05808489168586063
Parental_Education_High School,0.03470520441340098
Study_Environment_Fair,0.03413445951307526
Study_Environment_Poor,0.03408525104157041
Family_Income_Level_Good,0.032400183195387476
Family_Income_Level_Average,0.031927836425019396
Parental_Education_Bachelor,0.03059313428863581
Study_Environment_Good,0.029443633691617947
Private_Tutoring_No,0.025469946520144945
Private_Tutoring_Yes,0.025176018410729417
Family_Income_Level_Poor,0.022023349956476285
Chronic_Illness_No,0.021636192595589927
Chronic_Illness_Yes,0.021237304272275683
Parental_Education_Master,0.020871424780177898
